FEN, nodes_at_depth_2, nodes_at_depth_4, nodes_at_depth_6, nodes_at_depth_8, nodes_at_depth_10, nodes_at_depth_12, nodes_at_depth_14, nodes_at_depth_16
rk/2/2/2/RK,16,,,,,,,
1k/pp/2/PP/1K,9,,,,,,,
1k/pp/2/2/PP/1K,9,,,,,,,
rk/pp/2/PP/RK,,23,,,,,,
qk/pp/2/PP/QK,,35,,,,,,
nk/pp/2/PP/NK,,72,,,,,,
1k/pp/2/PP/1K,,75,,,,,,
bk/2/2/2/BK,,104,,,,,,
nk/2/2/2/NK,,120,,,,,,
1k/pp/2/2/PP/1K,,117,,,,,,
rk/2/2/2/RK,,314,,,,,,
qk/2/2/2/QK,,305,,,,,,
rk/pp/2/PP/RK,,,293,,,,,
qk/pp/2/PP/QK,,,523,,,,,
1k/pp/2/PP/1K,,,684,,,,,
nk/pp/2/PP/NK,,,681,,,,,
bk/2/2/2/BK,,,899,,,,,
nk/2/2/2/NK,,,1250,,,,,
1k/pp/2/2/PP/1K,,,1717,,,,,
rk/2/2/2/RK,,,3963,,,,,
qk/2/2/2/QK,,,3773,,,,,
rk/pp/2/PP/RK,,,,3900,,,,
1k/pp/2/PP/1K,,,,6272,,,,
nk/pp/2/PP/NK,,,,6396,,,,
bk/2/2/2/BK,,,,9479,,,,
qk/pp/2/PP/QK,,,,7447,,,,
nk/2/2/2/NK,,,,12934,,,,
1k/pp/2/2/PP/1K,,,,25266,,,,
rk/2/2/2/RK,,,,49684,,,,
qk/2/2/2/QK,,,,43652,,,,
nk/pp/2/PP/NK,,,,,61609,,,
1k/pp/2/PP/1K,,,,,54134,,,
rk/pp/2/PP/RK,,,,,49234,,,
bk/2/2/2/BK,,,,,95286,,,
qk/pp/2/PP/QK,,,,,107239,,,
nk/2/2/2/NK,,,,,121438,,,
1k/pp/2/2/PP/1K,,,,,365002,,,
rk/2/2/2/RK,,,,,549725,,,
qk/2/2/2/QK,,,,,472303,,,
rk/pp/2/PP/RK,,,,,,622259,,
nk/pp/2/PP/NK,,,,,,580747,,
bk/2/2/2/BK,,,,,,975388,,
1k/pp/2/PP/1K,,,,,,453136,,
qk/pp/2/PP/QK,,,,,,1517140,,
nk/2/2/2/NK,,,,,,1074856,,
1k/pp/2/2/PP/1K,,,,,,5055785,,
rk/2/2/2/RK,,,,,,5982991,,
qk/2/2/2/QK,,,,,,4872629,,
1k/pp/2/2/2/PP/1K,9
2k1/2p1/4/2P1/2K1,22
1k/1p/2/2/2/1P/1K,9
1k/1p/2/2/1P/1K,9
1k/1p/2/2/2/1P/1K,,142
1k/pp/2/2/2/PP/1K,,121
1k/1p/2/2/1P/1K,,118
2k1/2p1/4/2P1/2K1,,376
1k/1p/2/2/1P/1K,,,1113
1k/1p/2/2/2/1P/1K,,,2012
1k/pp/2/2/2/PP/1K,,,2120
2k1/2p1/4/2P1/2K1,,,4361
1k/1p/2/2/1P/1K,,,,9292
1k/1p/2/2/2/1P/1K,,,,28409
1k/pp/2/2/2/PP/1K,,,,39534
2k1/2p1/4/2P1/2K1,,,,51434
1k/1p/2/2/1P/1K,,,,,65601
1k/1p/2/2/2/1P/1K,,,,,344887
2k1/2p1/4/2P1/2K1,,,,,544215
1k/pp/2/2/2/PP/1K,,,,,736999
1k/1p/2/2/1P/1K,,,,,,425030
1k/1p/2/2/2/1P/1K,,,,,,3907427
2k1/2p1/4/2P1/2K1,,,,,,5749481
1k/pp/2/2/2/PP/1K,,,,,,13681955
bk/pp/2/2/PP/BK,4
rk1/3/3/RK1,25
qk1/3/3/QK1,26
qk/pp/2/2/PP/QK,4
nk1/3/3/NK1,22
rk/pp/2/2/PP/RK,4
nk/pp/2/2/PP/NK,9
bk1/3/3/BK1,19
bk/pp/2/2/PP/BK,,45
rk/pp/2/2/PP/RK,,46
qk/pp/2/2/PP/QK,,61
nk/pp/2/2/PP/NK,,110
nk1/3/3/NK1,,398
bk1/3/3/BK1,,331
qk1/3/3/QK1,,483
rk1/3/3/RK1,,666
bk/pp/2/2/PP/BK,,,626
rk/pp/2/2/PP/RK,,,753
nk/pp/2/2/PP/NK,,,1419
qk/pp/2/2/PP/QK,,,1372
bk1/3/3/BK1,,,4691
nk1/3/3/NK1,,,5490
qk1/3/3/QK1,,,6836
rk1/3/3/RK1,,,11743
bk/pp/2/2/PP/BK,,,,8728
rk/pp/2/2/PP/RK,,,,15595
nk/pp/2/2/PP/NK,,,,18169
bk1/3/3/BK1,,,,63396
nk1/3/3/NK1,,,,80901
qk/pp/2/2/PP/QK,,,,35291
qk1/3/3/QK1,,,,88620
rk1/3/3/RK1,,,,200364
bk/pp/2/2/PP/BK,,,,,133343
nk/pp/2/2/PP/NK,,,,,248258
rk/pp/2/2/PP/RK,,,,,349576
bk1/3/3/BK1,,,,,842077
nk1/3/3/NK1,,,,,1090128
qk1/3/3/QK1,,,,,1095484
qk/pp/2/2/PP/QK,,,,,985215
rk1/3/3/RK1,,,,,3195456
bk/pp/2/2/PP/BK,,,,,,2050728
nk/pp/2/2/PP/NK,,,,,,3411556
rk/pp/2/2/PP/RK,,,,,,8056041
bk1/3/3/BK1,,,,,,10803323
nk1/3/3/NK1,,,,,,14733501
rk1/3/3/RK1,,,,,,49793869
qk1/3/3/QK1,,,,,,12866833
qk/pp/2/2/PP/QK,,,,,,28528097
bk1/pp1/PP1/BK1,9
nkn/ppp/3/PPP/NKN,28
bkb/ppp/PPP/BKB,10
qk1/pp1/PP1/QK1,10
rkr/ppp/PPP/RKR,10
rk1/pp1/3/PP1/RK1,15
bk1/pp1/3/PP1/BK1,15
bkb/ppp/3/PPP/BKB,10
rkr/ppp/3/PPP/RKR,10
qk1/pp1/3/PP1/QK1,15
rk1/pp1/PP1/RK1,10
qkq/ppp/PPP/QKQ,12
nk1/pp1/3/PP1/NK1,34
nkn/ppp/PPP/NKN,22
qkq/ppp/3/PPP/QKQ,10
nk1/pp1/PP1/NK1,18
rk1/pp1/PP1/RK1,,134
rkr/ppp/PPP/RKR,,120
bk1/pp1/3/PP1/BK1,,259
bk1/pp1/PP1/BK1,,80
bkb/ppp/PPP/BKB,,144
rk1/pp1/3/PP1/RK1,,358
nk1/pp1/PP1/NK1,,294
bkb/ppp/3/PPP/BKB,,204
qk1/pp1/3/PP1/QK1,,404
nkn/ppp/PPP/NKN,,162
qk1/pp1/PP1/QK1,,150
nkn/ppp/3/PPP/NKN,,936
qkq/ppp/3/PPP/QKQ,,322
nk1/pp1/3/PP1/NK1,,1088
qkq/ppp/PPP/QKQ,,282
rkr/ppp/3/PPP/RKR,,168
rkr/ppp/PPP/RKR,,,1988
bk1/pp1/PP1/BK1,,,834
rk1/pp1/PP1/RK1,,,2205
bkb/ppp/3/PPP/BKB,,,4782
bkb/ppp/PPP/BKB,,,1964
nkn/ppp/PPP/NKN,,,1402
bk1/pp1/3/PP1/BK1,,,4717
nk1/pp1/PP1/NK1,,,3345
qk1/pp1/PP1/QK1,,,2621
rk1/pp1/3/PP1/RK1,,,8926
qk1/pp1/3/PP1/QK1,,,12162
qkq/ppp/PPP/QKQ,,,5558
qkq/ppp/3/PPP/QKQ,,,13484
nkn/ppp/3/PPP/NKN,,,32136
rkr/ppp/3/PPP/RKR,,,4302
nk1/pp1/3/PP1/NK1,,,28298
bk1/pp1/PP1/BK1,,,,10407
rkr/ppp/PPP/RKR,,,,35564
rk1/pp1/PP1/RK1,,,,36086
nkn/ppp/PPP/NKN,,,,15104
qk1/pp1/PP1/QK1,,,,39991
bk1/pp1/3/PP1/BK1,,,,96823
bkb/ppp/PPP/BKB,,,,26124
nk1/pp1/PP1/NK1,,,,39559
bkb/ppp/3/PPP/BKB,,,,127850
